ExtractDate,PublisherURI,PublisherLabel,OrganisationURI,OrganisationLabel,CaseReference,CaseURL,CaseDate,ServiceTypeURI,ServiceTypeLabel,ClassificationURI,ClassificationLabel,CaseText,LocationText,DecisionTargetDate,Status,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicencsingURL,DecisionDate,Decision,DecisionType,DecisionNoticeDate,AppealRef,AppealDecisionDate,AppealDecision,GeoAreaURI,GeoAreaLabel,GroundArea,UPRN,Agent,PublicConsultationStartDate,publicConsultationEndDate,ResponsesFor,ResponsesAgainst
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/01225/DISCON,http://publicaccess2.milton-keynes.gov.uk/online-applications/,28/05/2014,http://id.esd.org.uk/service/1734,Discharge of planning conditions,,,Details submitted pursuant to discharge of conditions 6 (landscaping); 7 (boundary treatment); 8 (ve,Nampak Phases 4 5 & 6 Station Road Woburn Sands  ,23/07/2014,Decided,,,,,06/08/2014,Approve,Delegated,,,,,,,,,,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,15/00320/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,09/02/2015,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6012,Q18 Minor all other minor developments,Replacement of existing fencing with 2.4 metre triple point palisade fencing in black,Lionhearts Cruising Club Nicholas Mead Great Linford Milton Keynes MK14 5EL ,06/04/2015,Live,,,,,,,,,,,,,,,,Mr Keith Brooks,,26/03/2015,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00169/TCA,http://publicaccess2.milton-keynes.gov.uk/online-applications/,29/01/2014,http://id.esd.org.uk/service/1736,Conservation area tree works notification,,,Notification of intention to crown reduce by 20% 1x Ash tree (T1),3 Carriers Close Hanslope Milton Keynes MK19 7AR ,11/03/2014,Decided,,,,,07/03/2014,,Delegated,,,,,,,,,Tohunga Tree Services,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/01678/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,11/07/2014,http://id.esd.org.uk/service/1736,Conservation area tree works notification,,,Prior notification for a proposed single storey rear extension measuring 3.5 metres from the rear wa,5 Cardigan Close Bletchley Milton Keynes MK3 7EJ ,21/08/2014,Decided,,,,,19/08/2014,Prior not required,Delegated,,,,,,,,,,,28/08/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00210/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,03/02/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6014,Q21 Other householder developments,Erection of garden shed,The Barn 1A School Lane Loughton Milton Keynes MK5 8AT ,31/03/2014,Decided,,,,,24/03/2014,Approve,Delegated,,,,,,,,,,,11/03/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00026/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,08/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6007,Q13 Minor dwellings,Revised House Type Plot 3 (11/01135/FUL),27 Little Stocking Shenley Brook End Milton Keynes MK5 7BG ,06/03/2014,Decided,,,,,05/03/2014,Approve,Delegated,,,,,,,,,,,12/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00035/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,10/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6012,Q18 Minor all other minor developments,Two storey side and single storey rear extension (resubmission of 13/02112/FUL),80 Western Drive Hanslope Milton Keynes MK19 7LE ,07/03/2014,Decided,,,,,24/04/2014,Refuse,Delegated,,,,,,,,,AP Consulting Engineers,,20/03/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00036/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,10/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6012,Q18 Minor all other minor developments,Installation of 4 new air conditioning units,Starbucks The Place Retail Park Elder Gate Central Milton Keynes Milton Keynes  ,11/03/2014,Decided,,,,,11/03/2014,Approve,Delegated,,,,,,,,,Evolve RPS Limited,,25/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00037/CLUP,http://publicaccess2.milton-keynes.gov.uk/online-applications/,10/01/2014,http://id.esd.org.uk/service/1732,Lawful Development Certificate proposed Use,http://opendatacommunities.org/def/concept/planning/application/6000/6031,Q26 Certificates of lawful development,Certificate of lawfulness for a single storey rear extension,10 Wallace Street New Bradwell Milton Keynes MK13 0AR ,07/03/2014,Decided,,,,,06/03/2014,,Delegated,,,,,,,,,Mrs Rebecca McKinney,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00045/DISCON,http://publicaccess2.milton-keynes.gov.uk/online-applications/,13/01/2014,http://id.esd.org.uk/service/1734,Discharge of planning conditions,,,Details submitted pursuant to discharge of conditions 1-11 attached to planning permission 13/01219/,Manor Cottage Cross Lane Weston Underwood Olney MK46 5LD ,10/03/2014,Decided,,,,,05/03/2014,Split,Delegated,,,,,,,,,,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00051/DISCON,http://publicaccess2.milton-keynes.gov.uk/online-applications/,14/01/2014,http://id.esd.org.uk/service/1734,Discharge of planning conditions,,,Details submitted pursuant to discharge of conditions 4; 5 and 6 attached to planning permission 11/,Grange Farm Higham Cross Road Hanslope Milton Keynes MK19 7HL ,12/03/2014,Decided,,,,,12/03/2014,Approve,Delegated,,,,,,,,,Mr Robert Franklin,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00052/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,14/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6014,Q21 Other householder developments,Erection of a side and rear extension and replacement of flat roof to pitched roof on existing garag,2 Claremont Avenue Stony Stratford Milton Keynes MK11 1HH ,11/03/2014,Decided,,,,,05/03/2014,Approve,Delegated,,,,,,,,,Mr Len Mason,,12/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00113/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,22/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6013,Q20 Other change of use,Change of use from residential dwelling (use class C3) to House in multiple occupation (use class C4,9 Saracens Wharf Bletchley Milton Keynes MK2 2AL ,20/03/2014,Decided,,,,,10/03/2014,Refuse,Delegated,,03/09/2014,08/12/2014,Dismissed,,,,,,,27/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00114/DISCON,http://publicaccess2.milton-keynes.gov.uk/online-applications/,21/01/2014,http://id.esd.org.uk/service/1734,Discharge of planning conditions,,,Details submitted pursuant to discharge of conditions 3 (doors); 4 (windows); 7 (roof materials samp,Newport Academy High Street Newport Pagnell  ,17/04/2014,Decided,,,,,16/04/2014,Approve,Delegated,,,,,,,,,,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00115/ADV,http://publicaccess2.milton-keynes.gov.uk/online-applications/,22/01/2014,http://id.esd.org.uk/service/1082,Advertisement control,http://opendatacommunities.org/def/concept/planning/application/6000/6015,Q22 Other advertisements,Advert consent to display 1 x projecting sign,5 St Pauls Court Stony Stratford Milton Keynes MK11 1LJ ,19/03/2014,Decided,,,,,02/04/2014,Approve,Committee,,,,,,,,,,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00116/LBC,http://publicaccess2.milton-keynes.gov.uk/online-applications/,22/01/2014,http://id.esd.org.uk/service/514,Listed building consent ,http://opendatacommunities.org/def/concept/planning/application/6000/6016,Q23 Other listed building consents (alter-extend),Listed building consent to display 1 x projecting sign,5 St Pauls Court Stony Stratford Milton Keynes MK11 1LJ ,19/03/2014,Decided,,,,,02/04/2014,Split,Committee,,,,,,,,,,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00119/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,22/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6014,Q21 Other householder developments,Single storey side extension,Lambourne House Willen Road Milton Keynes Village Milton Keynes MK10 9AF ,24/03/2014,Decided,,,,,20/03/2014,Approve,Delegated,,,,,,,,,Mr Darren Bell,,03/03/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00053/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,14/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6013,Q20 Other change of use,Change of use from residential dwelling (Use Class C3)  to C4 house in multiple occupation (Use Clas,30 Great Linch Middleton Milton Keynes MK10 9BF ,12/03/2014,Decided,,,,,12/03/2014,Refuse,Delegated,,,,,,,,,Ms Amanda Brown,,17/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00069/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,15/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6014,Q21 Other householder developments,First floor side extension,15 Tennyson Drive Newport Pagnell MK16 8PH ,13/03/2014,Decided,,,,,13/03/2014,Approve,Delegated,,,,,,,,,Bethune Architects,,17/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00087/DISCON,http://publicaccess2.milton-keynes.gov.uk/online-applications/,17/01/2014,http://id.esd.org.uk/service/1734,Discharge of planning conditions,,,Details submitted pursuant to discharge of condition 5 (stonework) attached to planning consent 12/0,10 High Street Stoke Goldington Newport Pagnell MK16 8NR ,14/03/2014,Decided,,,,,13/03/2014,Approve,Delegated,,,,,,,,,,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00032/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,09/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6014,Q21 Other householder developments,Single storey front extension,72 Dunchurch Dale Walnut Tree Milton Keynes MK7 7BU ,06/03/2014,Decided,,,,,26/02/2014,Approve,Delegated,,,,,,,,,,,12/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00091/CLUP,http://publicaccess2.milton-keynes.gov.uk/online-applications/,20/01/2014,http://id.esd.org.uk/service/1732,Lawful Development Certificate proposed Use,http://opendatacommunities.org/def/concept/planning/application/6000/6031,Q26 Certificates of lawful development,Certificate of lawfulness for proposed loft conversion and single storey rear extension and the inst,71 Mithras Gardens Wavendon Gate Milton Keynes MK7 7SY ,17/03/2014,Decided,,,,,14/03/2014,,Delegated,,,,,,,,,Mr Ben Morris,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00016/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,07/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6012,Q18 Minor all other minor developments,To retain and use the existing temporary Community Centre building,Temporary Community Centre Land NW of Ferry Meadows Close Broughton Milton Keynes  ,04/03/2014,Decided,,,,,24/03/2014,Approve,Committee,,,,,,,,,Ms Alison Swarbrick,,05/05/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00003/ADV,http://publicaccess2.milton-keynes.gov.uk/online-applications/,03/01/2014,http://id.esd.org.uk/service/1082,Advertisement control,http://opendatacommunities.org/def/concept/planning/application/6000/6015,Q22 Other advertisements,Advert consent to display 1 x internally illuminated fascia sign,Cafe Nero Site At 44 Winchester Circle Kingston Milton Keynes  ,28/02/2014,Decided,,,,,24/02/2014,Approve,Delegated,,,,,,,,,Mr Iain Hope,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00014/DISCON,http://publicaccess2.milton-keynes.gov.uk/online-applications/,06/01/2014,http://id.esd.org.uk/service/1734,Discharge of planning conditions,,,Details submitted pursuant to discharge of condition 7 (parking layout) attached to planning permiss,1 Milton Grove Bletchley Milton Keynes MK3 5BJ ,03/03/2014,Decided,,,,,30/01/2014,Approve,Delegated,,,,,,,,,Mr Nick Ubhi,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00017/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,06/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6012,Q18 Minor all other minor developments,Erection of a 1.8 metre high close-boarded fence (Retrospective),179 Selkirk Drive Oakridge Park Milton Keynes MK14 6FH ,03/03/2014,Decided,,,,,05/02/2014,Approve,Committee,,,,,,,,,,,07/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00020/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,08/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6014,Q21 Other householder developments,Single storey side and front extensions,10 Roche Gardens Bletchley Milton Keynes MK3 6HR ,12/03/2014,Decided,,,,,07/03/2014,Refuse,Delegated,,,,,,,,,Mr Lenny Lamont,,12/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00021/NMA,http://publicaccess2.milton-keynes.gov.uk/online-applications/,08/01/2014,http://id.esd.org.uk/service/1739,Planning non-material amendments ,,,Non material amendment to planning permission 13/01178/FUL to reconfigure position of windows,34 Latimer Stony Stratford Milton Keynes MK11 1HY ,05/02/2014,Decided,,,,,03/02/2014,Approve,Delegated,,,,,,,,,R A Hollowood,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00005/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,06/01/2014,http://id.esd.org.uk/service/1736,Conservation area tree works notification,,,Prior notification for a proposed single storey rear extension measuring 3.5 metres from the rear wa,80 Weston Road Olney MK46 5BQ ,16/03/2014,Decided,,,,,14/03/2014,Prior not required,Delegated,,,,,,,,,Mr Paul Croxford,,04/03/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00001/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,03/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6014,Q21 Other householder developments,Single storey rear and side extension (Resubmission of 13/02240/FUL),2 Brendon Court Furzton Milton Keynes MK4 1DH ,28/02/2014,Decided,,,,,20/01/2014,Approve,Delegated,,,,,,,,,Mr Gareth Elvidge,,06/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00002/TCA,http://publicaccess2.milton-keynes.gov.uk/online-applications/,03/01/2014,http://id.esd.org.uk/service/1736,Conservation area tree works notification,,,Notification of intention to remove to ground level 5 x Hazel trees(T1;T2;T5;T6;T7); 1 x Laburnum tr,24 High Street Olney MK46 4BB ,13/02/2014,Decided,,,,,12/02/2014,,Delegated,,,,,,,,,Neil Smith,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00009/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,06/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6014,Q21 Other householder developments,Single storey rear extension,62 Annesley Road Newport Pagnell MK16 0BG ,03/03/2014,Decided,,,,,20/01/2014,Approve,Delegated,,,,,,,,,Mr Graham Rosser,,06/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00008/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,02/01/2014,http://id.esd.org.uk/service/487,Full planning applications,,,Prior notification of change of use from offices (use Class B1) to residential (use Class C3) for x ,Seckloe House 101 North Thirteenth Street Central Milton Keynes Milton Keynes  ,03/03/2014,Decided,,,,,26/02/2014,Prior granted,Delegated,,,,,,,,,Mr Simon Brookes,,12/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00118/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,22/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6014,Q21 Other householder developments,Renewal of planning permission 11/00504/FUL for a two storey side extension; single storey and part ,Park Farm House Filgrave To Gayhurst Road Tyringham Newport Pagnell MK16 9ES ,24/03/2014,Decided,,,,,19/03/2014,Approve,Delegated,,,,,,,,,James Paynter,,27/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00120/PREFRE,http://publicaccess2.milton-keynes.gov.uk/online-applications/,21/01/2014,http://id.esd.org.uk/service/1737,Planning pre-application advice ,http://opendatacommunities.org/def/concept/planning/application/6000/6014,Q21 Other householder developments,Structural works,43 High Street Stony Stratford Milton Keynes MK11 1AA ,31/03/2014,,,,,,,,,,,,,,,,,,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00121/NMA,http://publicaccess2.milton-keynes.gov.uk/online-applications/,23/01/2014,http://id.esd.org.uk/service/1739,Planning non-material amendments ,,,Non material amendment to planning permission 13/01260/FUL for the installation of roof light (autom,39 Benbow Court Shenley Church End Milton Keynes MK5 6JE ,24/02/2014,Decided,,,,,31/01/2014,Approve,Delegated,,,,,,,,,Kyle Smart Associates Limited,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00122/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,23/01/2014,http://id.esd.org.uk/service/1736,Conservation area tree works notification,,,Prior notification for a proposed single storey rear extension measuring 3.4 metres from the rear wa,23 Hutton Avenue Oldbrook Milton Keynes MK6 2QQ ,05/03/2014,Decided,,,,,24/02/2014,Prior not required,Delegated,,,,,,,,,Barry Killinger,,25/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00123/TPO,http://publicaccess2.milton-keynes.gov.uk/online-applications/,23/01/2014,http://id.esd.org.uk/service/508,Tree preservation orders,,,Tree preservation order consent to reduce height and crown reduce by 50% 1 x Lime Tree (T1),Lilac Cottage London Road Broughton Milton Keynes MK10 9AA ,20/03/2014,Decided,,,,,11/03/2014,Approve,Delegated,,,,,,,,,,,28/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00124/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,23/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6014,Q21 Other householder developments,Replacement of front ground floor window with timber framed window,74 Western Road Wolverton Milton Keynes MK12 5BB ,20/03/2014,Decided,,,,,17/03/2014,Approve,Delegated,,,,,,,,,,,25/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00049/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,13/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6007,Q13 Minor dwellings,Conversion of two storey 3 bedrom dwelling with basement to 2x two bed flats,46 Anson Road Wolverton Milton Keynes MK12 5BP ,,,,,,,20/03/2014,,,,,,,,,,,Mr Peter MacQueen,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00006/DISCON,http://publicaccess2.milton-keynes.gov.uk/online-applications/,02/01/2014,http://id.esd.org.uk/service/1734,Discharge of planning conditions,,,Details submitted pursuant to discharge of conditions 4 and 5 attached to planning permission 13/011,Community Centre Church Street New Bradwell Milton Keynes MK13 0DA ,27/02/2014,Decided,,,,,20/02/2014,Approve,Delegated,,,,,,,,,Miss Lucinda Judd,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00092/ADV,http://publicaccess2.milton-keynes.gov.uk/online-applications/,18/01/2014,http://id.esd.org.uk/service/1082,Advertisement control,http://opendatacommunities.org/def/concept/planning/application/6000/6015,Q22 Other advertisements,Advert consent to display 43 x site wide signage for museum zone,Bletchley Park Sherwood Drive Bletchley Milton Keynes MK3 6EB ,19/03/2014,Decided,,,,,03/04/2014,Approve,Delegated,,,,,,,,,Ms Janie Price,,,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00093/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,20/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6014,Q21 Other householder developments,Two storey and single storey rear extensions,8 Olney Road Lavendon Olney MK46 4EU ,17/03/2014,Decided,,,,,13/03/2014,Approve,Delegated,,,,,,,,,Mr Matthew Allen,,20/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00095/TPO,http://publicaccess2.milton-keynes.gov.uk/online-applications/,20/01/2014,http://id.esd.org.uk/service/508,Tree preservation orders,,,Tree preservation order consent to remove 1 x Ash tree and replant with Norway Maple 'Crimson King;',Ash House Watling Street Little Brickhill Milton Keynes MK17 9NB ,17/03/2014,Decided,,,,,17/03/2014,Approve,Delegated,,,,,,,,,Mr Alex Peacock,,20/02/2014,,
05/03/2015,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,http://opendatacommunities.org/id/unitary-authority/milton-keynes,Milton Keynes,14/00099/FUL,http://publicaccess2.milton-keynes.gov.uk/online-applications/,20/01/2014,http://id.esd.org.uk/service/487,Full planning applications,http://opendatacommunities.org/def/concept/planning/application/6000/6013,Q20 Other change of use,Change of use of a 10m x 20m area of land to the rear of Village Hall; to be enclosed for use of pre,Village Hall 4 High Street Stoke Goldington Newport Pagnell MK16 8NR ,04/04/2014,Decided,,,,,25/04/2014,Approve,Delegated,,,,,,,,,,,10/03/2014,,
